user_input,retrieved_contexts,response,reference,context_precision,context_recall,faithfulness,answer_relevancy
Quais são os princípios doutrinários do SUS?,"['para processo de trabalho em saúde (Matta, 2006).\nDiretrizes do SUS\nA partir da análise da legislação do SUS e dos textos que tematizam sua\norganização, identificamos três diretrizes que devem se articular com os princí-\npios do SUS:\n\x95 Descentralização;\n\x95 Regionalização e hierarquização;\n\x95 Participação da comunidade;\nÉ por intermédio dessas diretrizes, tendo em vista o alicerce estrutural\ndos princípios da universalidade, eqüidade e integralidade, que o SUS deve se', 'operacionais do sistema. Mas a estrutura formal do SUS está disposta nesses\ntrês documentos citados anteriormente.\nPrincípios e Diretrizes: instruções de uso\nDefinir e descrever os princípios e diretrizes do sistema de saúde brasi-\nleiro, o SUS, não é tarefa das mais simples, muito menos, breve. As dificulda-\ndes são várias e de diversas ordens.\nFaçamos rapidamente uma apreciação de trechos do texto constitucional\nsobre o setor saúde e da lei 8.080, a lei orgânica da saúde:', 'gislação do SUS apresenta diversos elementos que podem ser apresentados\ncomo estruturantes e também como organizativos, o que contribui para o esva-\nziamento da diferença entre princípio e diretriz, bem como para a pulverização\ndos atributos que devem constituir o SUS.\nEstas dificuldades encontram-se também entre alunos, docentes e, prin-\ncipalmente, entre os usuários do SUS, que, para defenderem seus direitos,\ndevem conhecer quais os elementos (princípios e diretrizes) que orientam o', 'etc; diretiva\x94.\nOs sentidos apontados nos permitem compreender diretrizes como aqui-\nlo que define rumos, dinâmicas, estratégias que organizam o SUS. São linhas\ngerais, determinam rotas; são estratégicas, pois apontam caminhos e meios\npara atingir objetivos. Nesse sentido, as diretrizes seriam meios, normas para\natingir os objetivos1 do SUS que, em última instância, estariam articuladas com\nseus princípios.\nOrganizar o sistema de saúde com direção única em cada esfera de go-', 'Alguns autores, na tentativa de organizar a discussão em torno dos princí-\npios e diretrizes do SUS, propõem uma redescrição dessas noções. Ao in-\nvés de princípios e diretrizes, o SUS seria organizado a partir de princípios\ndoutrinários e princípios organizativos (Cunha & Cunha, 2001).\nOs princípios doutrinários seriam o núcleo comum de valores e concep-\nções que servem de base para os SUS. A idéia de doutrina, ao mesmo tempo']","Não há informação suficiente nas fontes recuperadas.
Aviso: Este é um sistema automatizado. Não substitui consulta médica.","Universalidade, Equidade e Integralidade.",0.8666666666377778,1.0,0.0,0.0
O que significa a diretriz de descentralização no SUS?,"['descentralização administrativa, descentralização de serviços, entre outros.\nA descentralização que trata o SUS é coerente com a concepção de um\nEstado federativo obediente a princípios constitucionais que devem ser assegu-\nrados e exercidos em cada esfera de governo.\nNo SUS, a diretriz da descentralização corresponde à distribuição de\npoder político, de responsabilidades e de recursos da esfera federal para a esta-\ndual e municipal. Ou seja, estamos falando de uma \x91desconcentração\x92 do poder', 'verno por meio da descentralização política, administrativa e financeira da União,\nestados e municípios é um meio para atingir os objetivos do SUS. Portanto,\ndescentralização seria uma diretriz que obedece aos princípios do SUS.\nEm contrapartida, a descentralização tornou-se um traço estruturante\ndo sistema de saúde brasileiro que muitas vezes confunde-se com um princípio,\na ponto de alguns autor es apresentá-lo dessa forma (P ereira et al., 2004).', 'totalitário; por outro, a completa e radical descentralização levaria à dissolução\nda noção de Estado (Bobbio et al., 2004).\nPortanto, há necessidade de uma aproximação cuidadosa da diretriz\nda descentralização do SUS, pois ela apresenta-se tanto como uma estra-\ntégia de constituição de um Estado federativo como também como uma\nestratégia de organização do sistema de saúde. O tema da descentralização\npode ser abordado de diversas formas: descentralização política,', '7373737373\nDiretriz da descentralização\nO texto constitucional define que o SUS deve se organizar a partir da\n\x93descentralização, com direção única em cada esfera de governo\x94 (Brasil,\n1988: 63).\nO debate entre centralização x descentralização é antigo e não pode ser\ntratado separadamente nem no sentido histórico e nem no sentido político, sob\no risco de ser reduzido à discussão de questões de cunho técnico ou ideológico.\nSe por um lado a completa centralização leva à organização de um Estado', 'descentralização e municipalização do SUS. Até o ano 2000, 99% dos municípi-\nos haviam aderido ao SUS, consolidando o processo de formalização da gestão\ndescentralizada. Apesar de todos os mecanismos de desconcentração política e\nadministrativa do SUS, o papel da União na indução de políticas e organização\ndo modelo de atenção, por meio, principalmente, de incentivos financeiros, tem\nconcentrado poder e decisão nessa esfera de governo. O papel dos estados na']","A diretriz da descentralização no SUS significa a distribuição de poder político, responsabilidades e recursos da esfera federal para as esferas estaduais e municipais, visando um Estado federativo. É uma estratégia de organização do sistema de saúde e de constituição de um Estado federativo. (docs/Principios_diretrizes_sus.pdf, p. 12)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.","Redistribuir responsabilidades entre União, Estados e Municípios.",0.99999999998,1.0,1.0,0.950961583564447
Qual é a função da Atenção Básica?,"['uma ação ou processo; começo, início (...); 2. o que serve de base a alguma\ncoisa; causa primeira, raiz, razão (...); 3. ditame moral; regra, lei, preceito\x94.\nA definição do dicionário nos serve de várias formas. Ao utilizar as defini-\nções 2 e 3, podemos pensar os princípios do SUS como aquilo que serve de\nbase, alicerce, para o sistema de saúde brasileiro; em contrapartida e ao mes-\nmo tempo, tais princípios representam os valores, os preceitos, as bandeiras de', 'a possibilidade de colocar em prática o princípio da \nintegralidade da atenção no nível local.\nFrente a esse desafio e considerando o disposto \nnas Políticas Nacionais de Atenção Básica (PNAB) e de', 'meios para fins idênticos. (Brasil, 1990a:69)\nA primeira dificuldade é definir claramente a diferença entre princípio e\ndiretriz. Aparentemente pode parecer uma tarefa simples, não fosse a própria\ndificuldade apresentada pelos legisladores quando formularam o texto constitu-\ncional e a lei orgânica da saúde.\nPor exemplo, o texto constitucional em nenhum momento menciona o\ntermo princípios, afirmando que o SUS é organizado a partir de diretrizes. Já a', 'SUS e que marcam historicamente a luta popular pela saúde.\nO que seriam, então, os princípios e diretrizes do SUS?\nDevemos inicialmente esclarecer o que a língua portuguesa define como\nprincípio e diretriz, para posteriormente identificar os usos desses termos como\nelementos constituintes do SUS.\nO dicionário \nHouaiss da língua portuguesa (Houaiss & Villar, 2001: 2.299)\ndefine princípio como \x931. o primeiro momento da existência (de algo), ou de', 'que identifica um conjunto de elementos comuns que justificam ou embasam\num sistema ou uma teoria, pressupõe também a idéia de que só exista um\núnico modo de compreensão desse sistema ou dessa teoria. Se por um lado\n1 Segundo a lei 8.080, de 1999, os objetivos do SUS são: \x93I - a identificação e divulgação dos\nfatores condicionantes e determinantes da saúde; II - a formulação de política de saúde\ndestinada a promover, nos campos econômico e social, a observância do disposto no § 1º do art.']","A Atenção Básica possibilita colocar em prática o princípio da integralidade da atenção no nível local. (docs/guia_politica_nacional_atencao_basica_integracao_atencao_basica_vigilancia_saude_modulo_1.pdf, p. 5)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Porta de entrada e foco na prevenção.,0.0,0.0,0.3333333333333333,0.6180552975977448
Quem tem direito ao atendimento no SUS?,"['Capítulo II \x96 Dos Princípios e Diretrizes\nArt. 7º As ações e serviços públicos de saúde e os serviços privados\ncontratados ou conveniados que integram o Sistema Único de Saúde\n(SUS) são desenvolvidos de acordo com as diretrizes previstas no art.\n198 da Constituição Federal, obedecendo ainda aos seguintes princípios:\nI - universalidade de acesso aos serviços de saúde em todos os níveis de\nassistência;\nII - integralidade de assistência, entendida como conjunto articulado e', '6161616161\nPrincípios e Diretrizes do\nSistema Único de Saúde\nGustavo Corrêa Matta\nIntrodução\nOs princípios e diretrizes do Sistema Único de Saúde (SUS) consti-\ntuem as bases para o funcionamento e organização do sistema de saúde\nem nosso país, afirmando direitos conquistados historicamente pelo povo\nbrasileiro e o formato democrático, humanista e federalista que deve ca-\nracterizar sua materialização.\nNeste sentido, os princípios e diretrizes do SUS devem ser compre-', '6868686868\nPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDE\nPortanto, quando ressaltamos que é inapropriado afirmar que o SUS é\ngratuito, queremos reforçar a noção ou princípio do direito à saúde. Não que-\nremos dizer que não é financiado, mas que a população não deve desembolsar\nnenhuma espécie de pagamento direto para a obtenção de serviços de saúde\nno SUS.\nAqui falamos da noção de direito presente na concepção do Estado de', 'da União para os estados e municípios, tendo como objetivo a consolidação dos\nprincípios e diretrizes do SUS.\nEm cada esfera de governo há uma direção do SUS: na União, o ministé-\nrio da saúde; nos estados e distrito federal, as secretarias estaduais de saúde\nou órgão equivalente; e nos municípios, as secretarias municipais de saúde.\nA legislação do SUS e suas Normas Operacionais (NOB-SUS) definem\nas atribuições comuns da União, distrito federal, estados e municípios, bem', 'operacionais do sistema. Mas a estrutura formal do SUS está disposta nesses\ntrês documentos citados anteriormente.\nPrincípios e Diretrizes: instruções de uso\nDefinir e descrever os princípios e diretrizes do sistema de saúde brasi-\nleiro, o SUS, não é tarefa das mais simples, muito menos, breve. As dificulda-\ndes são várias e de diversas ordens.\nFaçamos rapidamente uma apreciação de trechos do texto constitucional\nsobre o setor saúde e da lei 8.080, a lei orgânica da saúde:']","O SUS garante a universalidade de acesso aos serviços de saúde em todos os níveis de assistência. (docs/Principios_diretrizes_sus.pdf, p. 1)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Todos os cidadãos em território nacional.,0.999999999975,1.0,0.3333333333333333,0.744692891574018
O que é o princípio da Equidade no SUS?,"['para processo de trabalho em saúde (Matta, 2006).\nDiretrizes do SUS\nA partir da análise da legislação do SUS e dos textos que tematizam sua\norganização, identificamos três diretrizes que devem se articular com os princí-\npios do SUS:\n\x95 Descentralização;\n\x95 Regionalização e hierarquização;\n\x95 Participação da comunidade;\nÉ por intermédio dessas diretrizes, tendo em vista o alicerce estrutural\ndos princípios da universalidade, eqüidade e integralidade, que o SUS deve se', 'descentralização administrativa, descentralização de serviços, entre outros.\nA descentralização que trata o SUS é coerente com a concepção de um\nEstado federativo obediente a princípios constitucionais que devem ser assegu-\nrados e exercidos em cada esfera de governo.\nNo SUS, a diretriz da descentralização corresponde à distribuição de\npoder político, de responsabilidades e de recursos da esfera federal para a esta-\ndual e municipal. Ou seja, estamos falando de uma \x91desconcentração\x92 do poder', 'Capítulo II \x96 Dos Princípios e Diretrizes\nArt. 7º As ações e serviços públicos de saúde e os serviços privados\ncontratados ou conveniados que integram o Sistema Único de Saúde\n(SUS) são desenvolvidos de acordo com as diretrizes previstas no art.\n198 da Constituição Federal, obedecendo ainda aos seguintes princípios:\nI - universalidade de acesso aos serviços de saúde em todos os níveis de\nassistência;\nII - integralidade de assistência, entendida como conjunto articulado e', 'verno por meio da descentralização política, administrativa e financeira da União,\nestados e municípios é um meio para atingir os objetivos do SUS. Portanto,\ndescentralização seria uma diretriz que obedece aos princípios do SUS.\nEm contrapartida, a descentralização tornou-se um traço estruturante\ndo sistema de saúde brasileiro que muitas vezes confunde-se com um princípio,\na ponto de alguns autor es apresentá-lo dessa forma (P ereira et al., 2004).', 'gislação do SUS apresenta diversos elementos que podem ser apresentados\ncomo estruturantes e também como organizativos, o que contribui para o esva-\nziamento da diferença entre princípio e diretriz, bem como para a pulverização\ndos atributos que devem constituir o SUS.\nEstas dificuldades encontram-se também entre alunos, docentes e, prin-\ncipalmente, entre os usuários do SUS, que, para defenderem seus direitos,\ndevem conhecer quais os elementos (princípios e diretrizes) que orientam o']","Não há informação suficiente nas fontes recuperadas.
Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Tratar desigualmente os desiguais para promover justiça.,0.0,0.0,0.0,0.0
Como a comunidade participa do SUS?,"['para processo de trabalho em saúde (Matta, 2006).\nDiretrizes do SUS\nA partir da análise da legislação do SUS e dos textos que tematizam sua\norganização, identificamos três diretrizes que devem se articular com os princí-\npios do SUS:\n\x95 Descentralização;\n\x95 Regionalização e hierarquização;\n\x95 Participação da comunidade;\nÉ por intermédio dessas diretrizes, tendo em vista o alicerce estrutural\ndos princípios da universalidade, eqüidade e integralidade, que o SUS deve se', 'mais comuns da comunidade/território. Colaborando com \nisso, para atender às necessidades de qualificação e educação \npermanente dos profissionais do SUS, o Ministério da Saúde \natravés da Universidade Aberta do SUS (UNA - SUS) oferta cursos \ngratuitos e de modalidade à distância, em várias áreas da AB e \nVS, disponíveis em: https://unasus.gov.br.\nNa perspectiva da integralidade e da garantia da atenção à \nsaúde da população, os processos de formação para as equipes', 'Diretriz da participação da comunidade\nA participação popular é um dos marcos históricos da Reforma Sani-\ntária brasileira, quando, no final dos anos 70, sanitaristas, trabalhadores da\nsaúde, movimentos sociais organizados e políticos engajados na luta pela\nsaúde como um direito, propunham um novo sistema de saúde tendo como\nbase a universalidade, a integralidade, a participação da comunidade e os\nelementos que atualmente constituem o arcabouço legal e a organização', 'descentralização e municipalização do SUS. Até o ano 2000, 99% dos municípi-\nos haviam aderido ao SUS, consolidando o processo de formalização da gestão\ndescentralizada. Apesar de todos os mecanismos de desconcentração política e\nadministrativa do SUS, o papel da União na indução de políticas e organização\ndo modelo de atenção, por meio, principalmente, de incentivos financeiros, tem\nconcentrado poder e decisão nessa esfera de governo. O papel dos estados na', 'gislação do SUS apresenta diversos elementos que podem ser apresentados\ncomo estruturantes e também como organizativos, o que contribui para o esva-\nziamento da diferença entre princípio e diretriz, bem como para a pulverização\ndos atributos que devem constituir o SUS.\nEstas dificuldades encontram-se também entre alunos, docentes e, prin-\ncipalmente, entre os usuários do SUS, que, para defenderem seus direitos,\ndevem conhecer quais os elementos (princípios e diretrizes) que orientam o']","A participação da comunidade é uma das diretrizes do SUS e um marco histórico da Reforma Sanitária brasileira. (docs/Principios_diretrizes_sus.pdf, p. 11, 15)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Conselhos e Conferências de Saúde.,0.8333333332916666,1.0,0.5,0.5543837999295391
O SUS fornece vacinas gratuitas?,"['vacinas, estimulando a adesão e reflexão sobre os benefícios da \nvacinação; mobilizar e estimular os ACS e ACE quanto à vigilância \ndos eventos adversos pós-vacinação; orientar a gestante e a \npuérpera quanto à importância da vacinação nesta etapa de \nvida para mãe e filho; e identificar pessoas suspeita de doenças \nimunopreveníveis e comunicar a equipe da unidade de saúde \npara a notificação e investigação do agravo no seu território.', '• Coberturas vacinais, comparativamente com o restante do \nmunicípio e com as metas regionais e outros indicadores \nrelacionados aos imunobiológicos, sejam técnicos-científicos \nou de armazenamento, manutenção e transporte;\n● Cobertura das ações de controle vetorial;\nDessa forma, trabalhar com definição de metas e análise \nde indicadores auxilia de forma determinante no processo de \norganização e aprimoramento da qualidade do cuidado que se', 'para toda a vida. Este Calendário indica as vacinas de cada fase.\nIDADE VACINA DOSE DOENÇAS EVITADAS\nAo nascer\nhepatite Bhepatite B 1 dose hepatite B, hepatide D\nBCG 1 dose\nformas graves e \ndisseminadas da \ntuberculose e, também, \ncom efeito protetor \ncontra a hanseníase \n2 meses\npenta (DTP+ \nHib+HB) 1ª dose \ndifteria, tétano, coqueluche, \ninfecções pelo H. influenzae \ntipo b, hepatite B \npoliomielite \ninativada VIP 1ª dose poliomielite (paralisia infantil)\npneumocócica \n10-valente 1ª dose', '6868686868\nPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDEPOLÍTICAS DE SAÚDE\nPortanto, quando ressaltamos que é inapropriado afirmar que o SUS é\ngratuito, queremos reforçar a noção ou princípio do direito à saúde. Não que-\nremos dizer que não é financiado, mas que a população não deve desembolsar\nnenhuma espécie de pagamento direto para a obtenção de serviços de saúde\nno SUS.\nAqui falamos da noção de direito presente na concepção do Estado de', 'mais comuns da comunidade/território. Colaborando com \nisso, para atender às necessidades de qualificação e educação \npermanente dos profissionais do SUS, o Ministério da Saúde \natravés da Universidade Aberta do SUS (UNA - SUS) oferta cursos \ngratuitos e de modalidade à distância, em várias áreas da AB e \nVS, disponíveis em: https://unasus.gov.br.\nNa perspectiva da integralidade e da garantia da atenção à \nsaúde da população, os processos de formação para as equipes']","Sim, o SUS oferece vacinas gratuitas. O calendário de vacinação do SUS indica as vacinas para cada fase da vida. (document.pdf, p. 0)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.","Sim, gratuitamente via PNI.",0.94999999997625,1.0,0.5,0.9892330062517104
O que é a integralidade no SUS?,"['para processo de trabalho em saúde (Matta, 2006).\nDiretrizes do SUS\nA partir da análise da legislação do SUS e dos textos que tematizam sua\norganização, identificamos três diretrizes que devem se articular com os princí-\npios do SUS:\n\x95 Descentralização;\n\x95 Regionalização e hierarquização;\n\x95 Participação da comunidade;\nÉ por intermédio dessas diretrizes, tendo em vista o alicerce estrutural\ndos princípios da universalidade, eqüidade e integralidade, que o SUS deve se', 'gislação do SUS apresenta diversos elementos que podem ser apresentados\ncomo estruturantes e também como organizativos, o que contribui para o esva-\nziamento da diferença entre princípio e diretriz, bem como para a pulverização\ndos atributos que devem constituir o SUS.\nEstas dificuldades encontram-se também entre alunos, docentes e, prin-\ncipalmente, entre os usuários do SUS, que, para defenderem seus direitos,\ndevem conhecer quais os elementos (princípios e diretrizes) que orientam o', 'Capítulo II \x96 Dos Princípios e Diretrizes\nArt. 7º As ações e serviços públicos de saúde e os serviços privados\ncontratados ou conveniados que integram o Sistema Único de Saúde\n(SUS) são desenvolvidos de acordo com as diretrizes previstas no art.\n198 da Constituição Federal, obedecendo ainda aos seguintes princípios:\nI - universalidade de acesso aos serviços de saúde em todos os níveis de\nassistência;\nII - integralidade de assistência, entendida como conjunto articulado e', '59\nINFORMAÇÃO E \nAVALIAÇÃO \nO Sistema de Informação em Saúde da Atenção Básica \n(SISAB) e o Sistema e-SUS AB fazem parte da estratégia e-SUS \nAB. O Sistema e-SUS AB é composto por programas e aplicativo \npara a coleta de dados na AB, a saber: \n● Sistema com Coleta de Dados Simplificada (CDS) na qual os \nprofissionais da AB coletam os dados por meio das fichas de \natendimento individual; atividade coletiva; procedimentos; \nvacinação; marcadores de consumo alimentar; cadastro', 'etc; diretiva\x94.\nOs sentidos apontados nos permitem compreender diretrizes como aqui-\nlo que define rumos, dinâmicas, estratégias que organizam o SUS. São linhas\ngerais, determinam rotas; são estratégicas, pois apontam caminhos e meios\npara atingir objetivos. Nesse sentido, as diretrizes seriam meios, normas para\natingir os objetivos1 do SUS que, em última instância, estariam articuladas com\nseus princípios.\nOrganizar o sistema de saúde com direção única em cada esfera de go-']","A integralidade no SUS é entendida como um conjunto articulado e contínuo de ações e serviços preventivos e curativos, individuais e coletivos, exigidos para cada caso em todos os níveis de complexidade do sistema. (docs/Principios_diretrizes_sus.pdf, p. 1)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Assistência completa da prevenção à alta complexidade.,0.8333333332916666,0.0,0.3333333333333333,0.8515471651796572
Qual o papel do Ministério da Saúde?,"['MINISTÉRIO DA SAÚDE\nSecretaria de Atenção à Saúde\nDepartamento de Atenção Básica\nEsplanada dos Ministérios, bloco G, 7º andar\nCEP: 70058-900 – Brasília/DF\nTel.: (61) 3315-9040\nSite: dab.saude.gov.br\nSecretaria de Vigilância em Saúde\nDepartamento de Gestão da Vigilância em Saúde\nDepartamento da Vigilância das Doenças Transmissíveis\nDepartamento de Vigilância de Doenças e Agravos não Transmissíveis e Promoção da Saúde', 'MINISTÉRIO DA SAÚDE\nSecretaria de Atenção à Saúde\nSecretaria de Vigilância em Saúde\nGUIA POLÍTICA NACIONAL \nDE ATENÇÃO BÁSICA \nMÓDULO 1: \nINTEGRAÇÃO ATENÇÃO BÁSICA \nE VIGILÂNCIA EM SAÚDE\nBrasília – DF\n2018', 'por isso pode optar  por enfocar naquele mês ações relacionadas \nàs duas temáticas.\nSUGESTÕES DE LEITURA\nBRASIL. Ministério da Saúde. Secretaria de Vigilância em Saúde. \nSecretaria de Atenção à Saúde. Política Nacional de Promoção da \nSaúde. 3. ed. Brasília: Ministério da Saúde, 2010.\nBRASIL. Ministério da Saúde. Secretaria de Atenção à Saúde. \nDepartamento de Atenção Básica. Política Nacional de Alimentação \ne Nutrição. 1. ed., 1. reimpr. Brasília: Ministério da Saúde, 2013.', '7575757575\nEssas instâncias são:\n\x95 Conselho Nacional de Secretarias Municipais de Saúde (Conasems);\n\x95 Conselho Nacional de Secretários de Saúde (Conass);\n\x95 Comissão Intergestores Bipartite (CIB) \x96 estabelece pactos entre os\nmunicípios com a coordenação da gestão estadual;\n\x95 Comissão Intergestores Tripartite (CIT) \x96 estabelece pactos entre re-\npresentantes do Ministério da Saúde, do Conass e do Conasems.\nMuitos autores têm realizado análises a respeito do processo de', '7777777777\nNa VIII Conferência Nacional de Saúde, a participação popular apa-\nrece como um dos princípios que devem reger o \x91novo\x92 sistema nacional de\nsaúde: \x93- Participação da população, através de suas entidades represen-\ntativas, na formulação da política, no planejamento, na gestão, na execu-\nção e avaliação das ações de saúde\x94 (Brasil, 1986: 10).\nA lei 8.142, de 1990, regulamenta as instâncias de participação da comu-']","O Ministério da Saúde, por meio da Secretaria de Atenção à Saúde e da Secretaria de Vigilância em Saúde, elabora guias como o da Política Nacional de Atenção Básica. (docs/guia_politica_nacional_atencao_basica_integracao_atencao_basica_vigilancia_saude_modulo_1.pdf, p. 1)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.",Formular políticas nacionais e coordenar o sistema.,0.4499999999775,0.0,0.5,0.5081468641206681
Como funciona a hierarquização dos serviços de saúde?,"['Art. 198. As ações e serviços públicos de saúde integram uma rede\nregionalizada e hierarquizada e constituem um sistema único, organizado\nde acordo com as seguintes diretrizes:\nI- descentralização, com direção única em cada esfera de governo;\nII- atendimento integral, com prioridade para as atividades preventivas,\nsempre juízo dos serviços assistenciais;\nIII- participação da comunidade. (Brasil, 1988: 63)\nCapítulo II \x96 Dos Princípios e Diretrizes', '6363636363\nVI - divulgação de informações quanto ao potencial dos serviços de saúde\ne a sua utilização pelo usuário;\nVII - utilização da epidemiologia para o estabelecimento de prioridades, a\nalocação de recursos e a orientação programática;\nVIII - participação da comunidade;\nIX - descentralização político-administrativa, com direção única em cada\nesfera de governo:\na) ênfase na descentralização dos serviços para os municípios;\nb) regionalização e hierarquização da rede de serviços de saúde;', '40\nSUGESTÃO DE LEITURA\nANEXO DA PORTARIA Nº 4.279, DE 30 DE DEZEMBRO DE \n2010 - Diretrizes para a organização da Rede de Atenção à \nSaúde no âmbito do Sistema Único de Saúde (SUS). \nUm exemplo disso são os Centros de Referência em Saúde do \nTrabalhador (CEREST) e Centros de Testagem e Aconselhamento (CTA), \nque mantém interface direta com a VS e devem se conformar também \nem unidades de monitoramento e matriciamento para os contextos de', 'estratégias de referência e contra-referência intermunicipais.\nDefinida como a organização da rede de serviços por nível de comple-\nxidade, a hierarquização aponta para uma outra dicotomia, presente no\nprocesso de trabalho em saúde, entre trabalho simples e trabalho comple-\nxo. Nesse sentido, supor , por exemplo, que as atividades que envolvem a\natenção primária à saúde possuem um nível de complexidade menor que\noutras atividades de âmbito hospitalar ou cirúrgico é reproduzir uma divisão', 'linhas de cuidado, passando pelo entendimento do processo \nsaúde-doença que norteia as consultas individuais e coletivas, \nvisitas domiciliares, grupos e procedimentos realizados pelas \nequipes de AB. Portanto, a organização das ações integradas \nde trabalho é responsabilidade partilhada das equipes de AB e \nVS, da atenção e da gestão, sendo imprescindível priorizar esta \npauta nos espaços de diálogo entre essas equipes no cotidiano \nde trabalho, buscando construir os caminhos para se chegar a']","A hierarquização organiza a rede de serviços por nível de complexidade. É a organização da rede de serviços por nível de complexidade. (docs/Principios_diretrizes_sus.pdf, p. 15)

Aviso: Este é um sistema automatizado. Não substitui consulta médica.","Níveis de complexidade crescente, como atenção primária, secundária e terciária.",0.9166666666361111,0.0,0.5,0.4693753292214218
